[2021.11.15 17:48:03.485] channelNo = 1, DoRelayBoxInsulationCheck(), #1
[2021.11.15 17:48:03.487] channelNo = 1, DoRelayBoxInsulationCheck(), start
[2021.11.15 17:48:03.489] channelNo = 1, DoRelayBoxInsulationCheck(), wait passed...
[2021.11.15 17:48:03.490] channelNo = 1, DoRelayBoxInsulationCheck(), GetCurrentMode[1] = Error
[2021.11.15 17:48:03.491] channelNo = 1, DoRelayBoxInsulationCheck(), GetCurrentMode[2] = Error
[2021.11.15 17:48:03.491] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #1
[2021.11.15 17:48:04.213] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #3
[2021.11.15 17:48:14.995] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #4
[2021.11.15 17:49:44.435] channelNo = 1, DoRelayBoxInsulationCheck(), #1
[2021.11.15 17:49:44.435] channelNo = 1, DoRelayBoxInsulationCheck(), start
[2021.11.15 17:49:44.437] channelNo = 1, DoRelayBoxInsulationCheck(), wait passed...
[2021.11.15 17:49:44.438] channelNo = 1, DoRelayBoxInsulationCheck(), GetCurrentMode[1] = Error
[2021.11.15 17:49:44.440] channelNo = 1, DoRelayBoxInsulationCheck(), GetCurrentMode[2] = Error
[2021.11.15 17:49:44.440] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #1
[2021.11.15 17:49:55.199] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #2
[2021.11.15 17:50:02.580] TaskCompletedCallback [-1] #START
[2021.11.15 17:50:02.580] TaskCompletedCallback [-1] CheckOverVoltageStop()
[2021.11.15 17:50:03.428] TaskCompletedCallback [-1] #START
[2021.11.15 17:50:03.428] TaskCompletedCallback [-1] CheckOverVoltageStop()
[2021.11.15 18:40:12.601] channelNo = 1, DoRelayBoxInsulationCheck(), #1
[2021.11.15 18:40:12.603] channelNo = 1, DoRelayBoxInsulationCheck(), start
[2021.11.15 18:40:12.605] channelNo = 1, DoRelayBoxInsulationCheck(), wait passed...
