[2021.11.15 18:04:27.922] channelNo = 2, DoRelayBoxInsulationCheck(), #1
[2021.11.15 18:04:27.924] channelNo = 2, DoRelayBoxInsulationCheck(), start
[2021.11.15 18:04:27.926] channelNo = 2, DoRelayBoxInsulationCheck(), wait passed...
[2021.11.15 18:04:27.928] channelNo = 2, DoRelayBoxInsulationCheck(), GetCurrentMode[1] = Error
[2021.11.15 18:04:27.928] channelNo = 2, DoRelayBoxInsulationCheck(), GetCurrentMode[2] = Error
[2021.11.15 18:04:27.928] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #1
[2021.11.15 18:04:28.822] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #3
[2021.11.15 18:04:31.832] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #5
[2021.11.15 18:04:32.835] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #6
[2021.11.15 18:04:32.837] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #7
[2021.11.15 18:04:32.838] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #8
[2021.11.15 18:04:35.826] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #10
[2021.11.15 18:04:36.828] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #11
[2021.11.15 18:04:36.829] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #12
[2021.11.15 18:04:36.836] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #13
[2021.11.15 18:04:38.836] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #15
[2021.11.15 18:04:38.836] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #16
[2021.11.15 18:04:38.837] channelNo = 2, Devices.PNECTSInstance.ConnectionState = Disconnected
[2021.11.15 18:10:17.330] channelNo = 2, DoRelayBoxInsulationCheck(), #1
[2021.11.15 18:10:17.330] channelNo = 2, DoRelayBoxInsulationCheck(), start
[2021.11.15 18:10:17.331] channelNo = 2, DoRelayBoxInsulationCheck(), wait passed...
[2021.11.15 18:10:17.332] channelNo = 2, DoRelayBoxInsulationCheck(), GetCurrentMode[1] = Error
[2021.11.15 18:10:17.332] channelNo = 2, DoRelayBoxInsulationCheck(), GetCurrentMode[2] = Error
[2021.11.15 18:10:17.333] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #1
[2021.11.15 18:10:17.998] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #3
[2021.11.15 18:10:21.011] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #5
[2021.11.15 18:10:22.013] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #6
[2021.11.15 18:10:22.014] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #7
[2021.11.15 18:10:22.019] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #8
[2021.11.15 18:10:25.019] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #10
[2021.11.15 18:10:26.021] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #11
[2021.11.15 18:10:26.022] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #12
[2021.11.15 18:10:26.023] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #13
[2021.11.15 18:10:28.017] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #15
[2021.11.15 18:10:28.017] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #16
