[2021.11.12 10:50:27.824] channelNo = 1, DoRelayBoxInsulationCheck(), #1
[2021.11.12 10:50:27.825] channelNo = 1, DoRelayBoxInsulationCheck(), start
[2021.11.12 10:50:27.827] channelNo = 1, DoRelayBoxInsulationCheck(), wait passed...
[2021.11.12 10:50:27.828] channelNo = 1, DoRelayBoxInsulationCheck(), GetCurrentMode[1] = Off
[2021.11.12 10:50:27.829] channelNo = 1, DoRelayBoxInsulationCheck(), GetCurrentMode[2] = Off
[2021.11.12 10:50:27.829] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #3
[2021.11.12 10:50:38.439] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #4
[2021.11.12 12:57:22.455] channelNo = 1, DoRelayBoxInsulationCheck(), #1
[2021.11.12 12:57:22.458] channelNo = 1, DoRelayBoxInsulationCheck(), start
[2021.11.12 12:57:22.460] channelNo = 1, DoRelayBoxInsulationCheck(), wait passed...
[2021.11.12 12:57:22.463] channelNo = 1, DoRelayBoxInsulationCheck(), GetCurrentMode[1] = Off
[2021.11.12 12:57:22.463] channelNo = 1, DoRelayBoxInsulationCheck(), GetCurrentMode[2] = Off
[2021.11.12 12:57:22.464] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #3
[2021.11.12 12:57:33.122] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #4
[2021.11.12 16:37:58.463] channelNo = 1, DoRelayBoxInsulationCheck(), #1
[2021.11.12 16:37:58.465] channelNo = 1, DoRelayBoxInsulationCheck(), start
[2021.11.12 16:37:58.467] channelNo = 1, DoRelayBoxInsulationCheck(), wait passed...
[2021.11.12 16:37:58.469] channelNo = 1, DoRelayBoxInsulationCheck(), GetCurrentMode[1] = Off
[2021.11.12 16:37:58.470] channelNo = 1, DoRelayBoxInsulationCheck(), GetCurrentMode[2] = Off
[2021.11.12 16:37:58.470] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #3
[2021.11.12 16:38:09.256] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #4
[2021.11.12 16:55:37.932] channelNo = 1, DoRelayBoxInsulationCheck(), #1
[2021.11.12 16:55:37.933] channelNo = 1, DoRelayBoxInsulationCheck(), start
[2021.11.12 16:55:37.935] channelNo = 1, DoRelayBoxInsulationCheck(), wait passed...
[2021.11.12 16:55:37.936] channelNo = 1, DoRelayBoxInsulationCheck(), GetCurrentMode[1] = Off
[2021.11.12 16:55:37.936] channelNo = 1, DoRelayBoxInsulationCheck(), GetCurrentMode[2] = Off
[2021.11.12 16:55:37.936] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #3
[2021.11.12 16:55:48.555] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #4
[2021.11.12 17:14:10.978] TaskCompletedCallback [-1] #START
[2021.11.12 17:14:10.978] TaskCompletedCallback [-1] CheckOverVoltageStop()
[2021.11.12 17:27:41.848] channelNo = 1, DoRelayBoxInsulationCheck(), #1
[2021.11.12 17:27:41.850] channelNo = 1, DoRelayBoxInsulationCheck(), start
[2021.11.12 17:27:41.852] channelNo = 1, DoRelayBoxInsulationCheck(), wait passed...
[2021.11.12 17:27:41.855] channelNo = 1, DoRelayBoxInsulationCheck(), GetCurrentMode[1] = Error
[2021.11.12 17:27:41.855] channelNo = 1, DoRelayBoxInsulationCheck(), GetCurrentMode[2] = Error
[2021.11.12 17:27:41.856] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #1
[2021.11.12 17:27:42.619] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #3
[2021.11.12 17:27:45.626] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #5
[2021.11.12 17:27:46.635] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #6
[2021.11.12 17:27:46.638] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #7
[2021.11.12 17:27:46.640] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #8
[2021.11.12 17:27:49.629] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #10
[2021.11.12 17:27:50.632] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #11
[2021.11.12 17:27:50.633] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #12
[2021.11.12 17:27:50.634] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #13
[2021.11.12 17:27:52.631] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #15
[2021.11.12 17:27:52.633] channelNo = 1, DoRelayBoxInsulationCheck(), BBB #16
[2021.11.12 17:27:52.634] channelNo = 1, Devices.PNECTSInstance.ConnectionState = Disconnected
