[2021.11.18 10:13:27.054] channelNo = 2, DoRelayBoxInsulationCheck(), #1
[2021.11.18 10:13:27.057] channelNo = 2, DoRelayBoxInsulationCheck(), start
[2021.11.18 10:13:37.931] channelNo = 2, DoRelayBoxInsulationCheck(), wait passed...
[2021.11.18 10:13:37.934] channelNo = 2, DoRelayBoxInsulationCheck(), GetCurrentMode[1] = Error
[2021.11.18 10:13:37.934] channelNo = 2, DoRelayBoxInsulationCheck(), GetCurrentMode[2] = Error
[2021.11.18 10:13:37.935] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #1
[2021.11.18 10:13:51.732] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #3
[2021.11.18 10:13:56.878] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #5
[2021.11.18 10:13:57.886] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #6
[2021.11.18 10:13:57.895] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #7
[2021.11.18 10:13:57.898] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #8
[2021.11.18 10:14:02.887] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #10
[2021.11.18 10:14:03.889] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #11
[2021.11.18 10:14:03.889] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #12
[2021.11.18 10:14:03.891] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #13
[2021.11.18 10:15:14.740] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #15
[2021.11.18 10:15:14.741] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #16
[2021.11.18 10:15:14.743] channelNo = 2, Devices.PNECTSInstance.ConnectionState = Disconnected
[2021.11.18 11:46:45.021] channelNo = 2, DoRelayBoxInsulationCheck(), #1
[2021.11.18 11:46:45.023] channelNo = 2, DoRelayBoxInsulationCheck(), start
[2021.11.18 11:46:47.362] channelNo = 2, DoRelayBoxInsulationCheck(), wait passed...
[2021.11.18 11:46:47.365] channelNo = 2, DoRelayBoxInsulationCheck(), GetCurrentMode[1] = Error
[2021.11.18 11:46:47.366] channelNo = 2, DoRelayBoxInsulationCheck(), GetCurrentMode[2] = Error
